文章標題,文章連結,圖片連結
健康及高齡友善城市獎出爐 51單位獲表揚,https://health99.hpa.gov.tw/news/19682,https://health99.hpa.gov.tw/storage/images/articles/467932766_968925881940529_4206599583305952790_n.jpg
為愛戒菸 無菸家庭好幸福,https://health99.hpa.gov.tw/news/19649,https://health99.hpa.gov.tw/storage/images/articles/463154529_940468704786247_5376773379369285688_n.jpg
失智「四大幸福」 共創友善台灣,https://health99.hpa.gov.tw/news/19619,https://health99.hpa.gov.tw/storage/images/articles/457574475_906832754816509_7103948836712877713_n.jpg
失智友善陪伴長輩過好年 6招安心出門,https://health99.hpa.gov.tw/news/19478,https://health99.hpa.gov.tw/storage/images/articles/426126585_779867480846371_2954156538634875515_n.jpg
「衛生所」是社區民眾健康的守護者 前瞻計畫大幅提升衛生所建物耐震安全,https://health99.hpa.gov.tw/news/19471,https://health99.hpa.gov.tw/storage/images/articles/422209595_771301171703002_8723495856010170871_n.jpg
龍年新希望 約定戒菸健康龍總贏 戒菸第一步「選定日子、下定決心」,https://health99.hpa.gov.tw/news/19459,https://health99.hpa.gov.tw/storage/images/articles/418487273_762175779282208_3277877200377082227_n.jpg
「健康促進機構」是社區民眾的守護者 全國服務績優機構榮獲608個獎,https://health99.hpa.gov.tw/news/19430,https://health99.hpa.gov.tw/storage/images/articles/404747610_735174345315685_8194907563240883502_n.jpg
發揮「失智友善『影』響力」 護腦5招預防及延緩失智,https://health99.hpa.gov.tw/news/19352,https://health99.hpa.gov.tw/storage/images/articles/401206898_727809796052140_1051371594558887576_n.jpg
「阿公阿嬤舞GO厲害」 10月24日共17隊超過700名長者參加總冠軍爭霸賽,https://health99.hpa.gov.tw/news/19343,https://health99.hpa.gov.tw/storage/images/articles/394587760_717384247094695_3438744587279753527_n.jpg
重陽戒菸啟動日 高齡健康長長久久 老年吸菸者比不吸菸者  心臟病、癌症及失智症風險高,https://health99.hpa.gov.tw/news/19341,https://health99.hpa.gov.tw/storage/images/articles/394739433_716996670466786_6561954763491562593_n.jpg
響應國際失智症月 失智友善社會共伴，同在行動+1,https://health99.hpa.gov.tw/news/19321,https://health99.hpa.gov.tw/storage/images/articles/380289302_698334502333003_4036193595024450839_n.jpg
參加銀髮健身俱樂部據點活動 超過9成長者自覺精神與肌力有改善,https://health99.hpa.gov.tw/news/19306,https://health99.hpa.gov.tw/storage/images/articles/373092465_688400059993114_350104476873327303_n.jpg
健康屬於你 ｜銀髮顧健康｜ 相揪答題抽禮券,https://health99.hpa.gov.tw/news/19301,https://health99.hpa.gov.tw/storage/images/articles/國民健康署_202308_行銷活動_第四場_final_LINE@ _抽好禮.png
人人都是打詐國家隊─高齡友善服務擴及金融機構,https://health99.hpa.gov.tw/news/19255,https://health99.hpa.gov.tw/storage/images/articles/3A54ABE2-AF80-445A-BF06-582D0F8C78CD.jpeg
營造友善社區  建構高齡城市 「在地安老」及「活躍老化」是關鍵,https://health99.hpa.gov.tw/news/19231,https://health99.hpa.gov.tw/storage/images/articles/346866326_248255361080427_6661517893274451978_n.jpg
顧健康的好厝邊；衛生所守護長者始終不變,https://health99.hpa.gov.tw/news/19146,https://health99.hpa.gov.tw/storage/images/articles/325417894_1107295626581208_6114616927498408154_n.jpg
從健康一體邁向城市永續發展 「111年臺灣健康城市暨高齡友善城市」頒獎典禮,https://health99.hpa.gov.tw/news/19121,https://health99.hpa.gov.tw/storage/images/articles/318204215_517781017055020_4325090093709122372_n.jpg
2022臺灣全球健康福祉論壇今開幕！超過千人響應    以「健康一體」為主軸，呼籲全球健康福祉的促進,https://health99.hpa.gov.tw/news/19098,https://health99.hpa.gov.tw/storage/images/articles/312520120_491359756363813_7407513729892353035_n.jpg
女性1/3的歲月在更年期後渡過 3個秘訣改善更年期不適,https://health99.hpa.gov.tw/news/19089,https://health99.hpa.gov.tw/storage/images/articles/311243029_482028507296938_8104506206524000657_n.jpg
失智友善推「四不」，勇奪「健康金牌」,https://health99.hpa.gov.tw/news/19072,https://health99.hpa.gov.tw/storage/images/articles/306711962_461710709328718_2202409636606444016_n.jpg
國健署挺爸媽，咱們作夥來相挺! 填問卷抽禮券，關懷長者逗陣來！,https://health99.hpa.gov.tw/news/19069,https://health99.hpa.gov.tw/storage/images/articles/國民健康署_20220916_第4場行銷活動圖像設計_LINE_問卷抽獎.png
推估超過30萬失智人口  9成6是65歲以上長者 失智友善不迷路 希望行動+1,https://health99.hpa.gov.tw/news/19047,https://health99.hpa.gov.tw/storage/images/articles/299209967_436872895145833_1187348323500051445_n.jpg
「運動不老  健康有保」 「銀髮健身俱樂部-厝邊作伙來運動」記者會,https://health99.hpa.gov.tw/news/19025,https://health99.hpa.gov.tw/storage/images/articles/295439121_422142733285516_8796916384326059342_n.jpg
長者評量缺肌力 保持健康9項功,https://health99.hpa.gov.tw/news/19001,https://health99.hpa.gov.tw/storage/images/articles/289366891_399817262184730_6201935193278804406_n.jpg
來自遺忘星球的爺爺─從繪本認識失智症,https://health99.hpa.gov.tw/news/18982,https://health99.hpa.gov.tw/storage/images/articles/280760752_377012887798501_682346876598122873_n.jpg
「藝術」打造樂智友善環境,https://health99.hpa.gov.tw/news/18947,https://health99.hpa.gov.tw/storage/images/articles/277742125_352006010299189_2309923674510188859_n.jpg
失智友善從微笑開始,https://health99.hpa.gov.tw/news/18911,https://health99.hpa.gov.tw/storage/images/articles/274356602_5483466525015408_3247037157583921606_n.jpg
聚餐不勸酒 以茶水代酒 拒絕勸酒話術有5招,https://health99.hpa.gov.tw/news/18887,https://health99.hpa.gov.tw/storage/images/articles/0128newsimg.jpg
淺談失智症,https://health99.hpa.gov.tw/article/18854,https://health99.hpa.gov.tw/storage/images/articles/articles18854.jpg
「整合、評估、永續」長者健康促進的關鍵 明年再升級 近4000處服務據點,https://health99.hpa.gov.tw/news/18857,https://health99.hpa.gov.tw/storage/images/articles/1215newsimg.jpg
「奇憶旅程 伴你啟程」巡迴展 邀您為愛啟程,https://health99.hpa.gov.tw/news/18832,https://health99.hpa.gov.tw/storage/images/articles/2021110901NEWSIMG.jpg
5D拉近距離 縮短健康差距 「研發遠距智慧銀髮科技互動平台5D計畫成果發表會」,https://health99.hpa.gov.tw/news/18829,https://health99.hpa.gov.tw/storage/images/articles/202110501NEWSIMG.jpg
110年度全國保健會議登場   守護全民健康 發展與時俱進的公衛服務,https://health99.hpa.gov.tw/news/18822,https://health99.hpa.gov.tw/storage/images/articles/20211022NEWSIMG.jpg
「奇憶旅程，伴你啟程─ 2021年失智友善全國繪畫徵件活動」,https://health99.hpa.gov.tw/news/18796,https://health99.hpa.gov.tw/storage/images/articles/20211014NEWSIMG.jpg
響應世界安寧日「安寧平權～每個生命都重要」,https://health99.hpa.gov.tw/news/18789,https://health99.hpa.gov.tw/storage/images/articles/20201002NEWSIMG.jpg
5招憶起打造失智友善樂活屋,https://health99.hpa.gov.tw/news/18779,https://health99.hpa.gov.tw/storage/images/articles/20210922NEWSIMG.jpg
中秋月圓 戒菸圓滿,https://health99.hpa.gov.tw/news/18777,https://health99.hpa.gov.tw/storage/images/articles/20210917NEWSIMG.jpg
中秋慶團圓 無酒保安康,https://health99.hpa.gov.tw/news/18778,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
用心照護失智者 讓「疫」塵不染,https://health99.hpa.gov.tw/news/18751,https://health99.hpa.gov.tw/storage/images/articles/20210820NEWSIMG.jpg
感謝從心做起  不以飲酒道謝 飲酒增加罹患新冠肺炎風險,https://health99.hpa.gov.tw/news/18597,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
4招抗癌兼抗疫 全民一起來「拒菸酒檳、飲食衛生、規律運動、均衡營養」,https://health99.hpa.gov.tw/news/18587,https://health99.hpa.gov.tw/storage/images/articles/20210621NEWSIMG.jpg
關懷友善社區國內資源,https://health99.hpa.gov.tw/article/19402,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
失智友善社區「憶」起來,https://health99.hpa.gov.tw/news/18328,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
勸酒Out 健康 In 拒絕勸酒拚酒 「牛」轉勸酒文化,https://health99.hpa.gov.tw/news/18301,https://health99.hpa.gov.tw/storage/images/articles/電視_16-9.jpg
家中有失智者，照顧者的準備,https://health99.hpa.gov.tw/article/18257,https://health99.hpa.gov.tw/storage/images/articles/4175551_m.jpg
表揚健康活力站 長輩相揪做運動,https://health99.hpa.gov.tw/news/18240,https://health99.hpa.gov.tw/storage/images/articles/20201222NEWSIMG.png
「2020阿公阿嬤逗陣來」全國總決賽活力登場 國健署邀請全民一同感受不老阿公阿嬤的熱情與活力！,https://health99.hpa.gov.tw/news/18235,https://health99.hpa.gov.tw/storage/images/articles/20201211NEWSIMG.png
擁抱生命末端 江玉寶打造八大服務顧終老,https://health99.hpa.gov.tw/article/18840,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
飲酒無安全量 每一口都是風險 拒酒顧肝，找回彩色人生,https://health99.hpa.gov.tw/news/18183,https://health99.hpa.gov.tw/storage/images/articles/20201029NEWSIMG.png
高齡友善的居家環境-顏色的使用,https://health99.hpa.gov.tw/article/18201,https://health99.hpa.gov.tw/storage/images/articles/12176居家防跌.jpg
2020年國際失智症月─「遇見德曼莎」,https://health99.hpa.gov.tw/news/18125,https://health99.hpa.gov.tw/storage/images/articles/20200924NEWSIMG.png
9/21國際失智症日 營造失智友善社會 和您相約認識德曼莎,https://health99.hpa.gov.tw/news/18122,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
全民一同防疫新生活 從謝絕飲酒開始,https://health99.hpa.gov.tw/news/8728,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
熱傷害不可忽視,https://health99.hpa.gov.tw/article/18227,https://health99.hpa.gov.tw/storage/images/articles/21968.jpg
世界衛生組織新版 長者健康整合式評估,https://health99.hpa.gov.tw/news/18548,https://health99.hpa.gov.tw/storage/images/articles/20200620NEWSIMG.jpg
高齡友善促進專區,https://health99.hpa.gov.tw/article/170,https://health99.hpa.gov.tw/storage/images/materials/51420.jpg
銀髮口罩包裝隊 拚防疫也拚社會參與,https://health99.hpa.gov.tw/news/8672,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
2020資料創新應用競賽結果出爐 社區長者遠距支持服務及國民健康促進組得獎揭曉,https://health99.hpa.gov.tw/news/8671,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
失智保護有3招，友善環境靠你我,https://health99.hpa.gov.tw/news/8667,https://health99.hpa.gov.tw/storage/images/content/20200514NEWSIMG.jpg.png
台灣59日 酒精擦手不入口,https://health99.hpa.gov.tw/news/8665,https://health99.hpa.gov.tw/storage/images/content/20200509NEWSIMG.jpg
做環保也可防失能失智！,https://health99.hpa.gov.tw/news/8617,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
阿公阿嬤活力秀-看電視也可以互動,https://health99.hpa.gov.tw/news/8612,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
喝酒要節制 人生不失智 台灣人近半酒精不耐 臉紅更會失智罹癌,https://health99.hpa.gov.tw/news/8592,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
「2019樂齡好漾-阿公阿嬤健康活力Show」全國總決賽 邀請全台灣一起感受長者不老活力 實現活躍老化,https://health99.hpa.gov.tw/news/8571,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
2019年臺灣全球健康論壇 臺美衛生環保官員跨國界、跨部會、跨領域共商 邁向永續、安全與健康的21世紀都市生活,https://health99.hpa.gov.tw/news/8564,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
打破迷思和標籤！　談失智「憶」起來,https://health99.hpa.gov.tw/news/8554,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
串起左鄰右舍愛的行動 讓台灣成為全球最關懷友善的國度,https://health99.hpa.gov.tw/news/18141,https://health99.hpa.gov.tw/storage/images/articles/120810512_3907108729317870_6724655909400959719_o.png
給您滿滿的正能量！慈悲關懷社區 讓衰弱長者、失智者、重症末期病人及家屬互相疼惜,https://health99.hpa.gov.tw/news/8534,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
吸菸與失智症風險增加有關,https://health99.hpa.gov.tw/news/16961,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
"2018「活躍老化健康論壇」面對高齡化社會,全民動起來",https://health99.hpa.gov.tw/news/8469,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
謠言終結站》吸菸可防失智？國健署：恰好相反(自由即時),https://health99.hpa.gov.tw/news/16839,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
關懷、友善與健康的樂齡臺灣 國民健康署公布2018健康城市暨高齡友善城市獎獲獎名單,https://health99.hpa.gov.tw/news/8455,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
臺灣推動高齡友善城市之主動與創新躍上國際 美國退休人員協會2018年《高齡準備力與競爭力》報告給予正面評價,https://health99.hpa.gov.tw/news/8431,https://health99.hpa.gov.tw/storage/images/content/NEWSQRCODE20181009.png
左鄰右舍來逗陣 失智者I CAN,https://health99.hpa.gov.tw/news/8424,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
處理菸草危害 日本2015年損失逾5千億 (自由即時),https://health99.hpa.gov.tw/news/16715,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
打破對於失智的迷思與歧視 國際失智症月起跑,https://health99.hpa.gov.tw/news/8419,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
抽菸可以提神醒腦？荷蘭研究：恐加速腦機能退化...(遠見雜誌網),https://health99.hpa.gov.tw/news/16651,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
打造失智友善居家環境 國健署提供小撇步,https://health99.hpa.gov.tw/news/8361,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
研究顯示：吸菸造成老年人衰弱,https://health99.hpa.gov.tw/news/16369,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
吞嚥沒問題 營養有保障 長者「吃得下」 身心快活,https://health99.hpa.gov.tw/news/8328,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
活躍老化成果論壇三部曲：共創活躍老化、高齡友善新社會,https://health99.hpa.gov.tw/news/8312,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
關懷城市工作坊，11/8在台北文創 高齡友善+失智友善+安寧友善-營造能安心自主的老後生活,https://health99.hpa.gov.tw/news/8308,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
銀髮健健美-愈動愈有力-動動健康班 長者愛運動 健康福氣來,https://health99.hpa.gov.tw/news/8306,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
「2017不老青春逗陣行」全國總決賽 阿公阿嬤不老舞台嗨翻天,https://health99.hpa.gov.tw/news/8296,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
體育署與國民健康署攜手 宣誓守護國人運動權及健康權,https://health99.hpa.gov.tw/news/8288,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
健康五招遠離失智症，護腦又強心,https://health99.hpa.gov.tw/news/8286,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
衛生福利部部長陳時中訪視臺東地區醫療及社福業務,https://health99.hpa.gov.tw/news/8206,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
社區照顧的另一種選擇-小規模多機能服務中心,https://health99.hpa.gov.tw/news/8192,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
照顧長路不孤單 長照社工溫暖相伴,https://health99.hpa.gov.tw/news/8216,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
長照十年計畫2.0︰聚焦個案職能生活，預防、維持與延緩失能,https://health99.hpa.gov.tw/news/8202,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
輕度失智者認知促進─看見人的美好,https://health99.hpa.gov.tw/article/127,https://health99.hpa.gov.tw/storage/images/articles/2016-09-13A001.jpg
吸菸加速老化 罹癌、失智風險大增( 優活健康網 ),https://health99.hpa.gov.tw/news/15346,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
英國西部日報：研究發現，吸菸加速大腦老化，嚴重損害思考能力,https://health99.hpa.gov.tw/news/15308,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
愛爾蘭鏡報：驚人的研究結果！吸菸者罹患失智症的機率高出50%,https://health99.hpa.gov.tw/news/15020,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
英國每日郵報：吸菸的機制損害大腦：吸菸會使大腦負責記憶、語言及感受的大腦外層變薄,https://health99.hpa.gov.tw/news/14641,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
3成學生被迫生活在菸害環境...逾5成中學生可自行買菸 ( 關鍵評論網 ),https://health99.hpa.gov.tw/news/14613,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
老菸槍易猝死 肺病患者年輕化 ( 蘋果日報 ),https://health99.hpa.gov.tw/news/14431,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
謝美倫無菸路 分享戒菸爸故事( 聯合新聞網 ),https://health99.hpa.gov.tw/news/14325,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
30年菸槍 失能風險高( 聯合報 ),https://health99.hpa.gov.tw/news/14209,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
如何降低失智症風險? 控制三高、戒菸、避免心血管疾病( 大成報 ),https://health99.hpa.gov.tw/news/13768,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
戒菸+控制體重 可降低失智風險( 中國時報 ),https://health99.hpa.gov.tw/news/13629,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
菸齡五十四　僅靠意志力戒菸好厲害( 健康醫療網 ),https://health99.hpa.gov.tw/news/13571,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
老菸槍戒菸成功 獲頒獎狀表揚( 中央社 ),https://health99.hpa.gov.tw/news/13569,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
老菸槍失智風險比不抽菸者高45%( 中時電子報 ),https://health99.hpa.gov.tw/news/13567,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
吸菸、二手菸都將導致失智！風險高出4成5( 關鍵評論網 ),https://health99.hpa.gov.tw/news/13508,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
世衛：吸菸造成失智( 中時電子報 ),https://health99.hpa.gov.tw/news/13506,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
癮君子注意！吸菸者患失智症機率高出4成( 優活健康網 ),https://health99.hpa.gov.tw/news/13505,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
癮君子注意！吸菸者患失智症機率高出4成( 優活健康網 ),https://health99.hpa.gov.tw/news/13504,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
研究：菸癮患失智症風險高( 中央日報網路報 ),https://health99.hpa.gov.tw/news/13472,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
戶外吸菸請先「停、看、聽」(優活健康網),https://health99.hpa.gov.tw/news/12634,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
捷運站前禁菸區劃紅線 1/4民眾嘸知影(新生報),https://health99.hpa.gov.tw/news/12624,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
面對二手菸 4/5不敢規勸(中央社),https://health99.hpa.gov.tw/news/12589,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
虎形山公園拒菸檳 民眾淨山健走(中華日報),https://health99.hpa.gov.tw/news/12355,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
英大學研究：抽菸傷腦( 中央社 ),https://health99.hpa.gov.tw/news/11513,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
男性老菸槍 腦功能早衰10歲( 中國時報 ),https://health99.hpa.gov.tw/news/9709,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
《內科醫學期刊》︰吸菸使晚年罹患老年癡呆的風險加倍,https://health99.hpa.gov.tw/news/9997,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
預防失智 現在開始,https://health99.hpa.gov.tw/article/50,https://health99.hpa.gov.tw/storage/images/articles/3377270_m.jpg
掌握保骨3要訣 預防骨質疏鬆,https://health99.hpa.gov.tw/news/19653,https://health99.hpa.gov.tw/storage/images/articles/463404185_941960177970433_1289864112232031411_n.jpg
「阿公阿嬤活力SHOW總決賽」，銀髮星光閃耀,https://health99.hpa.gov.tw/news/19633,https://health99.hpa.gov.tw/storage/images/articles/460570403_920562036776914_1264583543417534527_n (1).jpg
飲食營養恰恰好 身體健康人不老,https://health99.hpa.gov.tw/article/19608,https://health99.hpa.gov.tw/storage/images/articles/37191.jpg
2024長者活躍老化競賽「阿公阿嬤活力SHOW」起跑啦! 長者們迫不及待展現青春活力,https://health99.hpa.gov.tw/news/19580,https://health99.hpa.gov.tw/storage/images/articles/450996736_875941844572267_3461606995895909395_n.jpg
健康職場運動小秘笈-打造職場運動環境,https://health99.hpa.gov.tw/article/19578,https://health99.hpa.gov.tw/storage/images/articles/職場運動.jpg
4成長者沒有規律運動  加強布建據點 銀髮健身俱樂部-厝邊就是健身房,https://health99.hpa.gov.tw/news/19502,https://health99.hpa.gov.tw/storage/images/articles/431754952_800431082123344_650075676152046873_n.jpg
更年期與代謝症候群,https://health99.hpa.gov.tw/article/19468,https://health99.hpa.gov.tw/storage/images/articles/5215689.jpg
社區營養好厝邊  銀養共創好食光 「質地調整飲食成果發表會」-高雄場,https://health99.hpa.gov.tw/news/19246,https://health99.hpa.gov.tw/storage/images/articles/351180948_244194864892766_7893803752321444095_n.jpg
預估2025年 台灣每5個人中有1人是長者 防老化顧健康 積極布建銀髮健身俱樂部,https://health99.hpa.gov.tw/news/19083,https://health99.hpa.gov.tw/storage/images/articles/310552958_470726938427095_7140582553719092444_n.jpg
「運動不老  健康有保」 「銀髮健身俱樂部-厝邊作伙來運動」記者會,https://health99.hpa.gov.tw/news/19025,https://health99.hpa.gov.tw/storage/images/articles/295439121_422142733285516_8796916384326059342_n.jpg
上班族需要注意的生活習慣──運動量不足篇,https://health99.hpa.gov.tw/article/19006,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
長者日常6個動作 揭開樂齡生活的關鍵,https://health99.hpa.gov.tw/news/18977,https://health99.hpa.gov.tw/storage/images/articles/0513newsimg.jpg
認識肌少症,https://health99.hpa.gov.tw/article/18856,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
5D拉近距離 縮短健康差距 「研發遠距智慧銀髮科技互動平台5D計畫成果發表會」,https://health99.hpa.gov.tw/news/18829,https://health99.hpa.gov.tw/storage/images/articles/202110501NEWSIMG.jpg
高齡友善促進專區,https://health99.hpa.gov.tw/article/170,https://health99.hpa.gov.tw/storage/images/materials/51420.jpg
2020資料創新應用競賽結果出爐 社區長者遠距支持服務及國民健康促進組得獎揭曉,https://health99.hpa.gov.tw/news/8671,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
高雄榮總戒菸週開跑 提醒民眾戒菸顧心臟！(自由即時),https://health99.hpa.gov.tw/news/16675,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
吞嚥沒問題 營養有保障 長者「吃得下」 身心快活,https://health99.hpa.gov.tw/news/8328,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
5分鐘抗菸操　增肌助戒菸 ( 蘋果電子報 ),https://health99.hpa.gov.tw/news/15086,https://health99.hpa.gov.tw/storage/images/materials/52302封面.png
