疾病,類別,主題,問題,解答連結
失智症,飲食和營養,營養,Q⦁請問除了正餐以外，還需要額外準備營養品給失智長輩嗎？,https://health.udn.com/health/care/129/292621
失智症,飲食和營養,營養,Q⦁請問失智者有特別需要攝取的營養素嗎？有哪些食物富含這些營養素呢？,https://health.udn.com/health/care/129/292622
失智症,飲食和營養,營養,Q⦁我知道「地中海飲食」可以預防失智，但對於已經失智的家人還有用嗎？,https://health.udn.com/health/care/129/292623
失智症,飲食和營養,營養,Q⦁媽媽以前不愛甜食，罹患失智症後卻很嗜甜，失智會造成口味改變？失智者愛吃甜該怎麼應對？,https://health.udn.com/health/care/129/292624
失智症,飲食和營養,營養,Q⦁請問大家都怎麼幫長輩備餐？,https://health.udn.com/health/care/129/292742
失智症,飲食和營養,穿著打扮,Q⦁媽媽每天都會站在衣櫃前挑衣服，一挑就是好幾個小時，也不願接受別人代挑，該怎麼辦才好？,https://health.udn.com/health/care/129/292625
失智症,飲食和營養,穿著打扮,Q⦁公公最近常穿同一件衣褲不願換洗，身上散發濃濃異味，該用何種方式誘導他換衣服？,https://health.udn.com/health/care/129/292626
失智症,穿著和衛生,穿著打扮,Q⦁失智者的衣物到底該依花色還是材質挑選？簡單寬鬆的衣物有助於他自行穿脫嗎？,https://health.udn.com/health/care/130/292627
失智症,穿著和衛生,穿著打扮,Q⦁為什麼爺爺不喜歡穿衣服？總會自行脫掉衣物，但是天氣很冷，很擔心爺爺因此感冒。,https://health.udn.com/health/care/130/292628
失智症,穿著和衛生,穿著打扮,Q⦁母親時常盯著內衣、上衣、褲子，思索要先穿哪件，穿衣順序造成母親困擾，我該如何協助？,https://health.udn.com/health/care/130/292629
失智症,穿著和衛生,穿著打扮,Q⦁失智者不會自行綁鞋帶，常常穿不耐走的拖鞋出門，請問應該挑選什麼樣的鞋子給失智者穿呢？,https://health.udn.com/health/care/130/292630
失智症,穿著和衛生,穿著打扮,Q⦁最近爸爸手受傷，我看他穿衣服不方便想幫他，但是爸爸堅持要自己穿，有什麼方法能幫他嗎？,https://health.udn.com/health/care/130/292711
失智症,穿著和衛生,冷熱知覺,Q⦁天冷時總想幫失智者蓋電熱毯或提供用毛巾裹好的熱水袋，但又深怕燙傷，失智者該如何保暖？,https://health.udn.com/health/care/130/292631
失智症,穿著和衛生,冷熱知覺,Q⦁天氣愈來愈熱，但失智的媽媽卻將毛衣一件件穿上，也不願別人幫她脫去，她感受不到熱嗎？,https://health.udn.com/health/care/130/292632
失智症,穿著和衛生,冷熱知覺,Q⦁夏天該準備什麼樣的衣物給失智者穿比較好？最近先生的身上長了非常多的痱子。,https://health.udn.com/health/care/130/292633
失智症,穿著和衛生,冷熱知覺,Q⦁最近天氣好冷，照顧的長輩常常手腳冰冷，請問大家有沒有推薦的保暖方法？,https://health.udn.com/health/care/130/292716
失智症,穿著和衛生,冷熱知覺,Q⦁天氣變冷，請問大家都怎麼替長輩保暖呢？,https://health.udn.com/health/care/130/292737
失智症,穿著和衛生,外表儀容,Q⦁奶奶很喜歡家人幫她梳頭髮，每次梳完都會很開心，為什麼失智後還會在意自己的外在？,https://health.udn.com/health/care/130/292634
失智症,穿著和衛生,外表儀容,Q⦁每次要幫父親刮鬍子，父親就會拒絕、反抗，要怎麼說服？幫失智者刮鬍子有什麼技巧嗎？,https://health.udn.com/health/care/130/292635
失智症,穿著和衛生,外表儀容,Q⦁奶奶吵著要上美容院燙頭髮，請問失智者能上美容院燙頭髮嗎？會不會出現什麼樣的問題呢？,https://health.udn.com/health/care/130/292636
失智症,穿著和衛生,外表儀容,Q⦁家人想幫阿嬤剪指甲，但阿嬤看到剪刀，以為家人要對她不利，如何讓阿嬤乖乖剪指甲嗎？,https://health.udn.com/health/care/130/292637
失智症,穿著和衛生,洗澡刷牙,Q⦁以前媽媽洗完澡還會噴香水，現在卻變得不修邊幅，請問幫失智者洗澡需要營造特定氛圍嗎？,https://health.udn.com/health/care/130/292638
失智症,穿著和衛生,洗澡刷牙,Q⦁為什麼爸爸這麼抗拒洗澡？每次都要花上好幾個鐘頭，非常耗神與體力，有什麼方式可以改善？,https://health.udn.com/health/care/130/292639
失智症,穿著和衛生,洗澡刷牙,Q⦁請問幫失智者洗澡前需要準備什麼？有洗澡的SOP流程嗎？身體與頭髮是否可以分次洗？,https://health.udn.com/health/care/130/292640
失智症,穿著和衛生,洗澡刷牙,Q⦁失智者洗完澡後皮膚易變得乾燥，請問是清潔用品選錯了嗎？該幫他擦乳液保養嗎？,https://health.udn.com/health/care/130/292641
失智症,穿著和衛生,洗澡刷牙,Q⦁失智的爺爺行動不便無法下床洗澡，請問家人該如何協助沐浴？,https://health.udn.com/health/care/130/292642
失智症,穿著和衛生,洗澡刷牙,Q⦁失智者能夠自行刷牙嗎？很怕爸爸誤吞牙膏，請問除了牙膏以外，有其它可替代的物品嗎？,https://health.udn.com/health/care/130/292643
失智症,穿著和衛生,洗澡刷牙,Q⦁阿公很抗拒洗澡，但有次身上都臭了，想幫他洗澡卻因為掙扎而滑倒受傷，你在照顧家人的時候，還有遇到過什麼棘手的情況嗎？,https://health.udn.com/health/care/130/292714
失智症,穿著和衛生,洗澡刷牙,Q⦁每次幫失智的阿嬤洗澡都非常困難，簡直像打仗，有時得出動三、四個人才能順利完成這「不可能的任務」，該怎麼讓失智症患者願意洗澡？,https://health.udn.com/health/care/130/292719
失智症,居家和行動,居家規畫,Q⦁失智者一直想出門，甚至把窗當成門，差點發生墜樓意外，家人只能鎖門關窗嗎？該如何處理？,https://health.udn.com/health/care/131/292644
失智症,居家和行動,居家規畫,Q⦁失智者常常搞不清楚廁所與房間的方位，說要睡覺卻跑到廁所，我該用什麼方式協助他辨別？,https://health.udn.com/health/care/131/292645
失智症,居家和行動,居家規畫,Q⦁父親常抱怨找不到東西，把家裡翻的亂七八糟，但東西每天都放在固定位子，為何還會找不到？,https://health.udn.com/health/care/131/292646
失智症,居家和行動,居家規畫,Q⦁家中是開放式廚房，很怕失智者會自行開瓦斯、拿菜刀，廚房物品該如何重新擺放以防危險？,https://health.udn.com/health/care/131/292647
失智症,居家和行動,居家規畫,Q⦁廁所常常濕滑，很怕爺爺會因此跌倒。廁所環境該做哪些調整，以預防爺爺跌倒？,https://health.udn.com/health/care/131/292648
失智症,居家和行動,居家規畫,Q⦁請問失智者需要很大的活動空間嗎？家裡很小、雜物很多，不知是否會影響？若會如何改善？,https://health.udn.com/health/care/131/292649
失智症,居家和行動,居家規畫,Q⦁失智者一直以來住在家中較暗的房間，平時曬不到太陽。光線會影響失智者嗎？該怎麼調整？,https://health.udn.com/health/care/131/292650
失智症,居家和行動,居家規畫,Q⦁家人協助整理奶奶的房間，但奶奶反而變得焦躁不安，一直嚷嚷說，這不是她的房間，為什麼？,https://health.udn.com/health/care/131/292651
失智症,居家和行動,走失,Q⦁失智者有自行出門的經驗，也曾走失，我該讓他配戴什麼防走失物品嗎？還是盡量不要出門？,https://health.udn.com/health/care/131/292652
失智症,居家和行動,外出,Q⦁想帶失智家人出遊，但不知他的體力能否負荷？需特別注意什麼嗎？,https://health.udn.com/health/care/131/292653
失智症,居家和行動,外出,Q⦁失智者每次聽到要看醫生，就躺在床上不願起來，該如何誘導他去醫院？需準備什麼東西嗎？,https://health.udn.com/health/care/131/292654
失智症,居家和行動,外出,Q⦁請問你也有帶失智症患者外出的困擾嗎？如失智症患者的體力、上廁所、餐廳用餐等等問題。該如何解決？,https://health.udn.com/health/care/131/292741
失智症,居家和行動,外出,Q⦁新冠疫情爆發期間每天確診數攀升讓家屬好緊張，失智症患者一直在無預警之下跑出門，隨時都有染疫風險，到底該怎麼辦？,https://health.udn.com/health/care/131/292744
失智症,居家和行動,遊走,Q⦁父親在家坐不住，會一直吵著要出門，該怎麼轉移注意力，讓他忘記出門這件事？,https://health.udn.com/health/care/131/292655
失智症,居家和行動,遊走,Q⦁媽媽成天走來走去，好像在找什麼，有辦法讓媽媽安靜坐下來，做點別的事情嗎？,https://health.udn.com/health/care/131/292656
失智症,居家和行動,跌倒,Q⦁奶奶最近走路愈來愈容易跌倒，是因為體力不好的關係嗎？還是有其它可能原因？,https://health.udn.com/health/care/131/292657
失智症,認知和脫序,幻視,Q⦁媽媽常對著房間的全身鏡大發雷霆，總說有人盯著她睡覺。鏡子是主因嗎？該把它遮住或移除？,https://health.udn.com/health/care/132/292658
失智症,認知和脫序,幻視,Q⦁媽媽常說花紋地板上有東西，還會一直對著它們說話，是家中的地板有什麼問題嗎？,https://health.udn.com/health/care/132/292659
失智症,認知和脫序,認知堅持,Q⦁失智者時常叫我幫她拿「黃色」的杯子，但家中並沒有，失智者對於色彩的辨識度有困難嗎？,https://health.udn.com/health/care/132/292660
失智症,認知和脫序,認知堅持,Q⦁母親喜愛薰衣草香味，每次都要在她房間點精油燈才肯入睡，是因為失智者的嗅覺比較敏感？,https://health.udn.com/health/care/132/292661
失智症,認知和脫序,金錢障礙,Q⦁太太還記得路怎麼走，會讓她到巷口買東西，但常常會忘記付錢而造成誤會，該怎麼避免？,https://health.udn.com/health/care/132/292662
失智症,認知和脫序,物品囤積,Q⦁先生一直胡亂蒐集東西，特別是外面的傳單，拿回來丟的房間都是，我該制止他嗎？,https://health.udn.com/health/care/132/292663
失智症,認知和脫序,幻覺,Q⦁奶奶成天都說家裡有別人，我們聽了都很害怕，跟她說沒有，她就立刻大發雷霆，該如何解釋？,https://health.udn.com/health/care/132/292664
失智症,認知和脫序,妄想,Q⦁婆婆忘記我是她的媳婦，我是照顧她的人，卻被當壞人，住在一起好辛苦，不知如何相處？,https://health.udn.com/health/care/132/292665
失智症,認知和脫序,妄想,Q⦁自從過完年，感覺爸爸變得很敏感、人也容易恐慌，總覺得有人要害他。其他失智長輩也會出現這樣的狀況嗎？,https://health.udn.com/health/care/132/292712
失智症,認知和脫序,妄想,Q⦁請問你也曾遇過失智症患者說你是小偷的狀況嗎？請問該如何處理？,https://health.udn.com/health/care/132/292731
失智症,認知和脫序,日夜顛倒,Q⦁失智者日夜顛倒，白天睡飽後，晚上精神就特別好，如何讓失智者調回正常的作息？,https://health.udn.com/health/care/132/292666
失智症,認知和脫序,日夜顛倒,Q⦁失智症患者日夜顛倒怎麼辦？,https://health.udn.com/health/care/132/292721
失智症,認知和脫序,日落症候群,Q⦁每天一接近傍晚，阿公就會大吼大叫，其它時間都好好的，為什麼這個時間就會出現這種狀況？,https://health.udn.com/health/care/132/292667
失智症,認知和脫序,重複行為,Q⦁奶奶一下要上廁所（帶她去也不上）一下要回房間，一下又說肚子餓，到底該怎麼溝通？,https://health.udn.com/health/care/132/292668
失智症,認知和脫序,重複行為,Q⦁失智父親每天問我「現在幾點了？」，重複不下十次，有什麼方法可以不再讓他問這個問題？,https://health.udn.com/health/care/132/292669
失智症,認知和脫序,暴力行為,Q⦁爺爺一不順心就踢人，大聲斥喝就會變本加厲，他以前是非常溫和的，為何連個性都變了？,https://health.udn.com/health/care/132/292670
失智症,認知和脫序,失禁,Q⦁失智的爸爸有大小便失禁的情形，我該教他如何上廁所？還是直接讓他包尿布比較好？,https://health.udn.com/health/care/132/292671
失智症,認知和脫序,失禁,Q⦁帶失智症長輩外出遇到失禁問題怎麼處理？有什麼提前準備的方法？,https://health.udn.com/health/care/132/292723
失智症,認知和脫序,失禁,Q⦁長輩大小便失禁，該包尿布嗎？,https://health.udn.com/health/care/132/292732
失智症,認知和脫序,玩糞,Q⦁奶奶自己去上廁所，在裡面待了很久，出來以後發現牆壁上都是糞便，為什麼奶奶會這樣？,https://health.udn.com/health/care/132/292672
失智症,認知和脫序,性行為問題,Q⦁爸爸會對外籍看護毛手毛腳，但以前不曾發生過，為什麼失智後反而會出現這樣的行為呢？,https://health.udn.com/health/care/132/292673
失智症,用藥和照護,用藥,Q⦁婆婆日夜顛倒，以致有失眠問題，家人也因此無法休息，失智者可以服用安眠藥調整作息嗎？,https://health.udn.com/health/care/133/292674
失智症,用藥和照護,用藥,Q⦁每次拿藥給爺爺吃，爺爺就說有人要毒害他，該怎麼跟他解釋？失智者用藥時需要注意什麼？,https://health.udn.com/health/care/133/292675
失智症,用藥和照護,身心壓力,Q⦁我是女性照顧者，帶爸爸外出時上廁所，無法陪同他進去，但又怕發生危險，該如何是好？,https://health.udn.com/health/care/133/292676
失智症,用藥和照護,身心壓力,Q⦁我的情緒常因父親起伏不定，照顧失智者真的好累。請問有能讓我喘口氣的地方嗎？,https://health.udn.com/health/care/133/292677
失智症,用藥和照護,身心壓力,Q⦁爸爸不記得我是誰，有一天他對我說辛苦了，他是記起我是誰了？還是感受到我對他的好？,https://health.udn.com/health/care/133/292678
失智症,用藥和照護,身心壓力,Q⦁當主要照顧者需要暫時離開時，對於接替照顧的人該如何交接？對失智者又該如何解釋與說明？,https://health.udn.com/health/care/133/292679
失智症,用藥和照護,身心壓力,Q⦁想帶媽媽到戶外呼吸新鮮空氣，有適合失智者的友善環境，體諒失智者行為失控的地方？,https://health.udn.com/health/care/133/292680
失智症,用藥和照護,身心壓力,Q⦁每次帶母親出去，只要一不順她的意就開始罵人尖叫，路人看到都議論紛紛，該如何化解尷尬？,https://health.udn.com/health/care/133/292681
失智症,用藥和照護,身心壓力,Q⦁身為家中無業的小孩，被兄姊要求照顧失智的老爸，長期照顧下來情緒越來越低落，很難開心起來，你也會這樣嗎？,https://health.udn.com/health/care/133/292734
失智症,用藥和照護,外籍看護,Q⦁婆婆不喜歡我們請的外籍看護，一直說要把她趕走，請問該怎麼辦？,https://health.udn.com/health/care/133/292682
失智症,用藥和照護,外籍看護,Q⦁想找人照顧家中的失智者，該找外籍看護嗎？是否有其它選擇？,https://health.udn.com/health/care/133/292683
失智症,用藥和照護,外籍看護,Q⦁我該帶外籍看護上失智相關課程嗎？外籍看護跟婆婆有非常多的溝通問題，不知道問題出在哪？,https://health.udn.com/health/care/133/292684
失智症,用藥和照護,外籍看護,Q⦁外籍看護抱怨，同一件事用同樣的方法，媽媽一下子能接受，一下子不行，不知道標準在哪？,https://health.udn.com/health/care/133/292685
失智症,用藥和照護,外籍看護,Q⦁家有失智長者，請問可以申請外籍看護嗎？資格是什麼？又該去哪申請？,https://health.udn.com/health/care/133/292686
失智症,用藥和照護,補助申請,Q⦁家屬該準備什麼輔具協助失智者的生活起居？這些輔具可以向政府申請嗎？該去哪裡申請？,https://health.udn.com/health/care/133/292687
失智症,用藥和照護,補助申請,Q⦁請問失智症是身心障礙的一種嗎？該如何申請證明呢？得到證明後又有什麼樣的好處？,https://health.udn.com/health/care/133/292688
失智症,用藥和照護,補助申請,Q⦁家人確診失智症，想送家人到安養院住又怕被說不孝，我該辭職照顧嗎？,https://health.udn.com/health/care/133/292717
失智症,用藥和照護,補助申請,Q⦁請問你有用過什麼照顧資源嗎？會不會很難申請？,https://health.udn.com/health/care/133/292722
失智症,用藥和照護,補助申請,Q⦁請問照顧罹患失智的父母要用哪一種方式？全職照顧？外籍看護？安養院？政府資源？請問失智資源與長照資源有什麼不一樣？申請失智資源後，就不能使用長照資源嗎？,https://health.udn.com/health/care/133/292725
失智症,用藥和照護,補助申請,Q⦁請問失智資源與長照資源有什麼不一樣？申請失智資源後，就不能使用長照資源嗎？,https://health.udn.com/health/care/133/292726
失智症,用藥和照護,補助申請,Q⦁請問大家在照顧的這條路上，會經常感到孤立無援嗎？,https://health.udn.com/health/care/133/292727
失智症,用藥和照護,財產管理,Q⦁因為家中有人是失智者，擔心自己將來也罹患失智症，該買什麼保險？這類保險如何理賠？,https://health.udn.com/health/care/133/292689
失智症,用藥和照護,財產管理,Q⦁阿公患有失智症，但被誘使幫人作保並提供房屋作為抵押，請問這具有法律效力嗎？,https://health.udn.com/health/care/133/292690
失智症,用藥和照護,財產管理,Q⦁很怕兄弟姊妹會趁著失智者失智，設法將財產轉到自己名下，該如何協助失智者做財產管理？,https://health.udn.com/health/care/133/292691
失智症,用藥和照護,財產管理,Q⦁有一次媽媽居然將貴重的珠寶首飾送給不熟識的鄰居，該怎麼開口跟媽媽說我想幫她保管財物？,https://health.udn.com/health/care/133/292692
失智症,用藥和照護,居住安排,Q⦁失智者被家人接回家裡住，卻每天吵著要回家。是住不習慣嗎？有什麼方式能幫助他習慣？,https://health.udn.com/health/care/133/292693
失智症,用藥和照護,居住安排,Q⦁我無法親手將母親送進安養院，但自己真的照顧不來，身心俱疲，送安養院是唯一的辦法嗎？,https://health.udn.com/health/care/133/292694
失智症,用藥和照護,居住安排,Q⦁我是全職照顧者，但也有需要休息的時候，也想要自己的人生，請問有日托失智者的地方嗎？,https://health.udn.com/health/care/133/292695
失智症,用藥和照護,居住安排,Q⦁因為工作關係，暫時將媽媽接到妹妹家住，在家時媽媽狀況還不錯，為何一到妹妹家就尿失禁？,https://health.udn.com/health/care/133/292696
失智症,用藥和照護,居住安排,Q⦁婆婆習慣選擇獨居，罹患失智症後仍不願意離開南部，北上和子女同住，但失智者可以獨居嗎？,https://health.udn.com/health/care/133/292697
失智症,用藥和照護,居住安排,Q⦁該讓失智長者享有獨立的空間？還是最好與家人同居才安全？,https://health.udn.com/health/care/133/292698
失智症,用藥和照護,居住安排,Q⦁母親常常口出穢言甚至有暴力行為，但家有年幼孩子，怕會有教育問題，該讓他們繼續同住嗎？,https://health.udn.com/health/care/133/292699
失智症,用藥和照護,照顧喘息,Q⦁最近幫失智症患者洗澡閃到腰，請問身為照顧者的你，身體是否也曾因爲照顧家屬出現任何病痛嗎？,https://health.udn.com/health/care/133/292708
失智症,用藥和照護,照顧喘息,Q⦁全職在家照顧失智症的婆婆，最近真的覺得壓力很大，想讓丈夫幫忙分擔一下照顧壓力，他卻說上班賺錢已經很辛苦了不能讓他休息嗎？我該怎麼辦？,https://health.udn.com/health/care/133/292709
失智症,用藥和照護,照顧喘息,Q⦁我是女生，身材比較瘦小，每次照顧父親時都覺得很吃力。想問大家覺得照顧過程中哪些部分壓力最大？如沐浴、餵食、外出、就醫等。,https://health.udn.com/health/care/133/292710
失智症,用藥和照護,照顧喘息,Q⦁真的好討厭過年，每次都被親戚狂說風涼話，讓人只想翻白眼，失智症患者家屬在過年期間最不想聽到什麼話？,https://health.udn.com/health/care/133/292715
失智症,用藥和照護,照顧喘息,Q⦁家裡人都不理解照顧者的辛苦，自己在照顧路上感覺很孤獨，請問有什麼方式能激勵自己，讓自己不感到孤獨？,https://health.udn.com/health/care/133/292718
失智症,用藥和照護,照顧喘息,Q⦁請問照顧者平時會遇到想睡睡不著的情況嗎？大家都是怎麼解決的？,https://health.udn.com/health/care/133/292728
失智症,用藥和照護,照顧喘息,Q⦁請問遇到會下照顧指導棋的親戚怎麼辦？,https://health.udn.com/health/care/133/292736
失智症,用藥和照護,照顧喘息,Q⦁過年期間大掃除、拜拜，親友進出拜年，失智症患者情緒波動較多，請問如何幫助失智症患者和家人平順過年過節？,https://health.udn.com/health/care/133/292738
失智症,用藥和照護,照顧喘息,Q⦁請問身為照顧者的你們，都幾點睡？以及幾點該起床照顧失智症患者？,https://health.udn.com/health/care/133/292740
失智症,用藥和照護,照顧喘息,Q⦁請問照顧者有時間做自己的事嗎？大家都幾點睡呢？一整天下來，好像只剩下半夜能做自己的事？,https://health.udn.com/health/care/133/292743
失智症,用藥和照護,新手照顧,Q⦁你怎麼發現家人失智？,https://health.udn.com/health/care/133/292720
失智症,用藥和照護,新手照顧,Q⦁家人失智了，該怎麼辦？請問失智症患者會出現哪些症狀？,https://health.udn.com/health/care/133/292724
失智症,用藥和照護,新手照顧,Q⦁請問大家會替失智症患者安排活動嗎？例如：運動、家事、手工藝...,https://health.udn.com/health/care/133/292730
失智症,用藥和照護,新手照顧,Q⦁失智症患者情緒不穩定，大吵大鬧時，請問要如何安撫？,https://health.udn.com/health/care/133/292733
失智症,用藥和照護,新手照顧,Q⦁請問失智症患者不願意出門看醫生怎麼辦？,https://health.udn.com/health/care/133/292735
失智症,用藥和照護,新手照顧,Q⦁因為照顧失智的家人，非常害怕自己將來也會失智，請問你也會有這樣擔憂的心情嗎？,https://health.udn.com/health/care/133/292739
失智症,用藥和照護,新手照顧,Q⦁失智症患者情緒不穩定，大吵大鬧時，請問大家都如何安撫？,https://health.udn.com/health/care/133/292745
失智症,非藥物治療,音樂治療,Q⦁失智者聽到熟悉的音樂會跟著哼唱，多放懷舊音樂給她聽，有助於延緩失智嗎？,https://health.udn.com/health/care/134/292700
失智症,非藥物治療,音樂治療,Q⦁我發現播放輕鬆舒服的音樂給媽媽聽，會讓她的情緒較穩定，洗澡、吃飯時也能播音樂嗎？,https://health.udn.com/health/care/134/292701
失智症,非藥物治療,運動治療,Q⦁先生罹患失智症前，有非常規律的運動習慣，罹患失智後，我該讓他維持先前的運動習慣嗎？,https://health.udn.com/health/care/134/292702
失智症,非藥物治療,運動治療,Q⦁要阿嬤出門真的不容易，請問有什麼運動是失智者在家就可以做的嗎？不想讓她成天坐在家裡。,https://health.udn.com/health/care/134/292703
失智症,非藥物治療,懷舊治療,Q⦁奶奶會忘記剛剛發生的事，但看到古早器具還可以說出用途，為何失智者反而保留以前的記憶？,https://health.udn.com/health/care/134/292704
失智症,非藥物治療,延緩課程,Q⦁失智家人成天在家，我該怎麼幫他安排日常活動？但平日要上班，該如何將時間分配得宜？,https://health.udn.com/health/care/134/292705
失智症,非藥物治療,延緩課程,Q⦁延緩失智症的課程對失智者有效嗎？很想帶媽媽上課，但不知該如何選擇適合她的課程？,https://health.udn.com/health/care/134/292706
失智症,非藥物治療,延緩課程,Q⦁請問大家會帶失智症患者一起做什麼事嗎？該用什麼方式引導失智症患者參與？,https://health.udn.com/health/care/134/292729
失智症,非藥物治療,寵物治療,Q⦁聽說養寵物能降低失智者焦躁不安的情緒，有需要特別養寵物來陪伴失智的家人嗎？,https://health.udn.com/health/care/134/292707
